href;firstName;lastName;rank_score_Catch Weight;rank_Catch Weight
767755fd74662dbf;Khamzat;Chimaev;7526.93;1
6d1bffff14897645;Santiago;Ponzinibbio;6160.7;2
8a1f3b5c526cd6e6;Daniel;Rodriguez;3222.99;3
275aca31f61ba28c;Islam;Makhachev;2891.1;4
1091d4d957141094;Nikita;Krylov;1588.01;5
65f09bacd3957381;Cory;Sandhagen;1338.7;6
6a2f7c151031653d;Rafael;Dos Anjos;809.04;7
0d8011111be000b2;Sean;Strickland;621.73;8
d6c0cdd7e467c440;Kyle;Daukaus;275.83;9
876f478f796495f7;Josh;Quinlan;122.65;10
578ef12674df1e6a;Irene;Aldana;119.06;11
3a314d9fa7c6825d;Douglas;Silva de Andrade;68.82;12
76e2870ffafbe38f;Movsar;Evloev;57.98;13
5fa2974cbd18e05c;John;Castaneda;50.66;14
e7bba7ce4d6c7b07;Casey;Kenney;32.16;15
902ec2cc48c8ae8a;Julian;Erosa;31.52;16
f0feeb2192937424;Angela;Hill;30.61;17
b67d6bacc68d4c92;Daniel;Santos;28.5;18
af9efbfd63d39734;Chelsea;Chandler;25.42;19
8e5d953bdb9ae5e7;Loopy;Godinez;22.87;20
45f0cc9d18f35137;Chris;Gutierrez;15.01;21
6d68c1afe954f121;Ode;Osbourne;13.63;22
8e9eb3fc86db0f7d;Marc-Andre;Barriault;10.38;23
207773daeb4afa7b;Devonte;Smith;9.47;24
c0ac37a4a1133da9;Marcus;McGhee;8.36;25
e4a47b07044ddd72;Ignacio;Bahamondes;7.41;26
6e9f40c706f91f32;Nate;Maness;5.88;27
d1941565abf50b16;Jim;Miller;5.79;28
48a9a128784d53d1;Elves;Brener;5.0;29
41e83a89929d1327;Jailton;Almeida;4.5;30
4461d7e47375a895;Tatsuro;Taira;4.0;31
e3964ece586e0635;Jacqueline;Cavalcanti;4.0;32
99bd51917728c25d;Grant;Dawson;2.09;33
aa171d55d4b5208f;Billy;Quarantillo;1.58;34
4d8fa64202cee4c1;Jalin;Turner;1.58;35
de45aaae23dfa392;Christos;Giagos;1.4;36
483a953b18d73bb3;Deron;Winn;1.4;37
4f140403000158b5;Herbert;Burns;0.99;38
c03520b5c88ed6b4;Merab;Dvalishvili;0.75;39
fd55393021a8c255;Gunnar;Nelson;0.0;40
d897897060f10a3a;Rich;Franklin;0.0;41
d8c7c61b176e3994;Cody;Garbrandt;0.0;42
e1248941344b3288;Alexander;Volkanovski;0.0;43
f8fe2053d73d7bcf;Nick;Catone;0.0;44
e0ec3c3b6b611f7e;Hermes;Franca;0.0;45
032cc3922d871c7f;Khabib;Nurmagomedov;0.0;46
7c7332319c14094c;Marlon;Vera;0.0;47
cb696ebfb6598724;Aljamain;Sterling;0.0;48
c21a036b4e012f1c;John;Makdessi;0.0;49
a4e85a58fbce64b2;Joe;Soto;0.0;50
9583662df31d943f;Luigi;Fioravanti;0.0;51
634bb0de2eb043b4;Cristiane;Justino;0.0;52
621a6c59f88a44fe;Matt;Hughes;0.0;53
539ed332b3078821;Sarah;Moras;0.0;54
4130a743d9d22163;Alan;Belcher;0.0;55
27541033b97c076d;Kevin;Ferguson;0.0;56
150ff4cc642270b9;Max;Holloway;0.0;57
0ee783aa00e468f0;Vitor;Belfort;0.0;58
ffc088e64fab57e9;Quinton;Jackson;0.0;59
